Name,Lat.,Long.,Diam. (km)
Lander,15.3S,131.8E,40
Landsteiner,31.3N,14.8W,6
Lane,9.5S,132.0E,55
Langemak,10.3S,118.7E,97
Langevin,44.3N,162.7E,58
Langley,51.1N,86.3W,59
Langmuir,35.7S,128.4W,91
Langrenus,8.9S,61.1E,127
Lansberg,0.3S,26.6W,38
Larmor,32.1N,179.7W,97
Lassell,15.5S,7.9W,23
Laue,28.0N,96.7W,87
Lauritsen,27.6S,96.1E,52
Lavoisier,38.2N,81.2W,70
Lawrence,7.4N,43.2E,24
Le Gentil,74.6S,75.7W,128
Le Monnier,26.6N,30.6E,60
Le Verrier,40.3N,20.6W,20
Leakey,3.2S,37.4E,12
Leavitt,44.8S,139.3W,66
Lebedev,47.3S,107.8E,102
Lebedinskiy,8.3N,164.3W,62
Lebesgue,5.1S,89.0E,11
Lee,30.7S,40.7W,41
Leeuwenhoek,29.3S,178.7W,125
Legendre,28.9S,70.2E,78
Lehmann,40.0S,56.0W,53
Leibnitz,38.3S,179.2E,245
Lemaître,61.2S,149.6W,91
Lents,2.8N,102.1W,21
Leonov,19.0N,148.2E,33
Lepaute,33.3S,33.6W,16
Letronne,10.8S,42.5W,116
Leucippus,29.1N,116.0W,56
Leuschner,1.8N,108.8W,49
Levi-Civita,23.7S,143.4E,121
Lewis,18.5S,113.8W,42
Lexell,35.8S,4.2W,62
Ley,42.2N,154.9E,79
Licetus,47.1S,6.7E,74
Lichtenberg,31.8N,67.7W,20
Lick,12.4N,52.7E,31
Liebig,24.3S,48.2W,37
Lilius,54.5S,6.2E,61
Linda,30.7N,33.4W,1
Lindbergh,5.4S,52.9E,12
Lindblad,70.4N,98.8W,66
Lindenau,32.3S,24.9E,53
Lindsay,7.0S,13.0E,32
Linné,27.7N,11.8E,2
Liouville,2.6N,73.5E,16
Lippershey,25.9S,10.3W,6
Lippmann,56.0S,114.9W,160
Lipskiy,2.2S,179.5W,80
Lütke,16.8S,123.1E,39
Littrow,21.5N,31.4E,30
Lobachevskiy,9.9N,112.6E,84
Lockyer,46.2S,36.7E,34
Lodygin,17.7S,146.8W,62
Loewy,22.7S,32.8W,24
Lohrmann,0.5S,67.2W,30
Lohse,13.7S,60.2E,41
Lomonosov,27.3N,98.0E,92
Longomontanus,49.6S,21.8W,157
Lorentz,32.6N,95.3W,312
Louise,28.5N,34.2W,0
Louville,44.0N,46.0W,36
Love,6.3S,129.0E,84
Lovelace,82.3N,106.4W,54
Lovell,36.8S,141.9W,34
Lowell,12.9S,103.1W,66
Lubbock,3.9S,41.8E,13
Lubiniezky,17.8S,23.8W,43
Lucian,14.3N,36.7E,7
Lucretius,8.2S,120.8W,63
Ludwig,7.7S,97.4E,23
Lundmark,39.7S,152.5E,106
Luther,33.2N,24.1E,9
Lyapunov,26.3N,89.3E,66
Lyell,13.6N,40.6E,32
Lyman,64.8S,163.6E,84
Lyot,49.8S,84.5E,132
,,,
Mach,18.5N,149.3W,180
MacLaurin,1.9S,68.0E,50
MacLear,10.5N,20.1E,20
MacMillan,24.2N,7.8W,7
Macrobius,21.3N,46.0E,64
Mädler,11.0S,29.8E,27
Maestlin,4.9N,40.6W,7
Magelhaens,11.9S,44.1E,40
Maginus,50.5S,6.3W,194
Main,80.8N,10.1E,46
Mairan,41.6N,43.4W,40
Maksutov,40.5S,168.7W,83
Malapert,84.9S,12.9E,69
Mallet,45.4S,54.2E,58
Malyy,21.9N,105.3E,41
Mandel'shtam,5.4N,162.4E,197
Manilius,14.5N,9.1E,38
Manners,4.6N,20.0E,15
Manuel,24.5N,11.3E,0
Manzinus,67.7S,26.8E,98
Maraldi,19.4N,34.9E,39
Marci,22.6N,167.0W,25
Marco Polo,15.4N,2.0W,28
Marconi,9.6S,145.1E,73
Marinus,39.4S,76.5E,58
Mariotte,28.5S,139.1W,65
Marius,11.9N,50.8W,41
Markov,53.4N,62.7W,40
Marth,31.1S,29.3W,6
Mary,18.9N,27.4E,1
Maskelyne,2.2N,30.1E,23
Mason,42.6N,30.5E,33
Maunder,14.6S,93.8W,55
Maupertuis,49.6N,27.3W,45
Maurolycus,42.0S,14.0E,114
Maury,37.1N,39.6E,17
Mavis,29.8N,26.4W,1
Maxwell,30.2N,98.9E,107
McAdie,2.1N,92.1E,45
McAuliffe,33.0S,148.9W,19
McClure,15.3S,50.3E,23
McDonald,30.4N,20.9W,7
McKellar,15.7S,170.8W,51
McLaughlin,47.1N,92.9W,79
McMath,17.3N,165.6W,86
McNair,35.7S,147.3W,29
McNally,22.6N,127.2W,47
Mechnikov,11.0S,149.0W,60
Mee,43.7S,35.3W,126
Mees,13.6N,96.1W,50
Meggers,24.3N,123.0E,52
Meitner,10.5S,112.7E,87
Melissa,8.1N,121.8E,18
Mendel,48.8S,109.4W,138
Mendeleev,5.7N,140.9E,313
Menelaus,16.3N,16.0E,26
Menzel,3.4N,36.9E,3
Mercator,29.3S,26.1W,46
Mercurius,46.6N,66.2E,67
Merrill,75.2N,116.3W,57
Mersenius,21.5S,49.2W,84
Meshcherskiy,12.2N,125.5E,65
Messala,39.2N,60.5E,125
Messier,1.9S,47.6E,11
Metius,40.3S,43.3E,87
Meton,73.6N,18.8E,130
Mezentsev,72.1N,128.7W,89
Michael,25.1N,0.2E,4
Michelson,7.2N,120.7W,123
Milankovic,77.2N,168.8E,101
Milichius,10.0N,30.2W,12
Miller,39.3S,0.8E,61
Millikan,46.8N,121.5E,98
Mills,8.6N,156.0E,32
Milne,31.4S,112.2E,272
Mineur,25.0N,161.3W,73
Minkowski,56.5S,146.0W,113
Minnaert,67.8S,179.6E,125
Mitchell,49.7N,20.2E,30
Mitra,18.0N,154.7W,92
Möbius,15.8N,101.2E,50
Mohoróvicic,19.0S,165.0W,51
Moigno,66.4N,28.9E,36
Moiseev,9.5N,103.3E,59
Moissan,4.8N,137.4E,21
Moltke,0.6S,24.2E,6
Monge,19.2S,47.6E,36
Monira,12.6S,1.7W,2
Montanari,45.8S,20.6W,76
Montgolfier,47.3N,159.8W,88
Moore,37.4N,177.5W,54
Moretus,70.6S,5.8W,111
Morley,2.8S,64.6E,14
Morozov,5.0N,127.4E,42
Morse,22.1N,175.1W,77
Moseley,20.9N,90.1W,90
Mösting,0.7S,5.9W,24
Mouchez,78.3N,26.6W,81
Moulton,61.1S,97.2E,49
Müller,7.6S,2.1E,22
Murakami,23.3S,140.5W,45
Murchison,5.1N,0.1W,57
Mutus,63.6S,30.1E,77
,,,
Nagaoka,19.4N,154.0E,46
Nansen,80.9N,95.3E,104
Naonobu,4.6S,57.8E,34
Nasireddin,41.0S,0.2E,52
Nasmyth,50.5S,56.2W,76
Nassau,24.9S,177.4E,76
Natasha,20.0N,31.3W,12
Naumann,35.4N,62.0W,9
Neander,31.3S,39.9E,50
Nearch,58.5S,39.1E,75
Necho,5.0S,123.1E,30
Neison,68.3N,25.1E,53
Neper,8.5N,84.6E,137
Nernst,35.3N,94.8W,116
Neujmin,27.0S,125.0E,101
Neumayer,71.1S,70.7E,76
Newcomb,29.9N,43.8E,41
Newton,76.7S,16.9W,78
Nicholson,26.2S,85.1W,38
Nicolai,42.4S,25.9E,42
Nicollet,21.9S,12.5W,15
Nielsen,31.8N,51.8W,9
Niépce,72.7N,119.1W,57
Nijland,33.0N,134.1E,35
Nikolaev,35.2N,151.3E,41
Nishina,44.6S,170.4W,65
Nobel,15.0N,101.3W,48
Nobile,85.2S,53.5E,73
Nobili,0.2N,75.9E,42
Nöggerath,48.8S,45.7W,30
Nonius,34.8S,3.8E,69
Norman,11.8S,30.4W,10
Nöther,66.6N,113.5W,67
Numerov,70.7S,160.7W,113
Nunn,4.6N,91.1E,19
Nüsl,32.3N,167.6E,61
,,,
Obruchev,38.9S,162.1E,71
O'Day,30.6S,157.5E,71
Oenopides,57.0N,64.1W,67
Oersted,43.1N,47.2E,42
Ohm,18.4N,113.5W,64
Oken,43.7S,75.9E,71
Olbers,7.4N,75.9W,74
Olcott,20.6N,117.8E,81
Olivier,59.1N,138.5E,69
Omar Khayyam,58.0N,102.1W,70
Onizuka,36.2S,148.9W,29
Opelt,16.3S,17.5W,48
Oppenheimer,35.2S,166.3W,208
Oppolzer,1.5S,0.5W,40
Oresme,42.4S,169.2E,76
Orlov,25.7S,175.0W,81
Orontius,40.6S,4.6W,105
Osama,18.6N,5.2E,0
Osiris,18.6N,27.6E,1
Osman,11.0S,6.2W,2
Ostwald,10.4N,121.9E,104
,,,
Palisa,9.4S,7.2W,33
Palitzsch,28.0S,64.5E,41
Pallas,5.5N,1.6W,46
Palmieri,28.6S,47.7W,40
Paneth,63.0N,94.8W,65
Pannekoek,4.2S,140.5E,71
Papaleksi,10.2N,164.0E,97
Paracelsus,23.0S,163.1E,83
Paraskevopoulos,50.4N,149.9W,94
Parenago,25.9N,108.5W,93
Parkhurst,33.4S,103.6E,96
Parrot,14.5S,3.3E,70
Parry,7.9S,15.8W,47
Parsons,37.3N,171.2W,40
Pascal,74.6N,70.3W,115
Paschen,13.5S,139.8W,124
Pasteur,11.9S,104.6E,224
Patricia,25.0N,0.3E,5
Patsaev,16.7S,133.4E,55
Pauli,44.5S,136.4E,84
Pavlov,28.8S,142.5E,148
Pawsey,44.5N,145.0E,60
Peary,88.6N,33.0E,73
Pease,12.5N,106.1W,38
Peek,2.6N,86.9E,12
Peirce,18.3N,53.5E,18
Peirescius,46.5S,67.6E,61
Pentland,64.6S,11.5E,56
Perel'man,24.0S,106.0E,46
Perepelkin,10.0S,129.0E,97
Perkin,47.2N,175.9W,62
Perrine,42.5N,127.8W,86
Petavius,25.1S,60.4E,188
Petermann,74.2N,66.3E,73
Peters,68.1N,29.5E,15
Petit,2.3N,63.5E,5
Petrie,45.3N,108.4E,33
Petropavlovskiy,37.2N,114.8W,63
Petrov,61.4S,88.0E,49
Pettit,27.5S,86.6W,35
Petzval,62.7S,110.4W,90
Phillips,26.6S,75.3E,122
Philolaus,72.1N,32.4W,70
Phocylides,52.7S,57.0W,121
Piazzi,36.6S,67.9W,134
Piazzi Smyth,41.9N,3.2W,13
Picard,14.6N,54.7E,22
Piccolomini,29.7S,32.2E,87
Pickering,2.9S,7.0E,15
Pictet,43.6S,7.4W,62
Pikel'ner,47.9S,123.3E,47
Pilâtre,60.2S,86.9W,50
Pingré,58.7S,73.7W,88
Pirquet,20.3S,139.6E,65
Pitatus,29.9S,13.5W,106
Pitiscus,50.4S,30.9E,82
Pizzetti,34.9S,118.8E,44
Plana,42.2N,28.2E,44
Planck,57.9S,136.8E,314
Planté,10.2S,163.3E,37
Plaskett,82.1N,174.3E,109
Plato,51.6N,9.4W,109
Playfair,23.5S,8.4E,47
Plinius,15.4N,23.7E,43
Plummer,25.0S,155.0W,73
Plutarch,24.1N,79.0E,68
Poczobutt,57.1N,98.8W,195
Pogson,42.2S,110.5E,50
Poincaré,56.7S,163.6E,319
Poinsot,79.5N,145.7W,68
Poisson,30.4S,10.6E,42
Polybius,22.4S,25.6E,41
Polzunov,25.3N,114.6E,67
Pomortsev,0.7N,66.9E,23
Poncelet,75.8N,54.1W,69
Pons,25.3S,21.5E,41
Pontanus,28.4S,14.4E,57
Pontécoulant,58.7S,66.0E,91
Popov,17.2N,99.7E,65
Porter,56.1S,10.1W,51
Posidonius,31.8N,29.9E,95
Poynting,18.1N,133.4W,128
Prager,3.9S,130.5E,60
Prandtl,60.1S,141.8E,91
Priestley,57.3S,108.4E,52
Prinz,25.5N,44.1W,46
Priscilla,0.0N,0.0E,0
Proclus,16.1N,46.8E,28
Proctor,46.4S,5.1W,52
Protagoras,56.0N,7.3E,21
Ptolemaeus,9.3S,1.9W,164
Puiseux,27.8S,39.0W,24
Pupin,23.8N,11.0W,2
Purbach,25.5S,2.3W,115
Purkyne,1.6S,94.9E,48
Pythagoras,63.5N,63.0W,142
Pytheas,20.5N,20.6W,20
,,,
Quetelet,43.1N,134.9W,55
,,,
Rabbi Levi,34.7S,23.6E,81
Racah,13.8S,179.8W,63
Raimond,14.6N,159.3W,70
Raman,27.0N,55.1W,10
Ramsay,40.2S,144.5E,81
Ramsden,0.0N,0.0E,24
Rankine,3.9S,71.5E,8
Raspletin,22.5S,151.8E,48
Ravi,22.5S,151.8E,48
Rayet,44.7N,114.5E,27
Rayleigh,29.3N,89.6E,114
Razumov,39.1N,114.3W,70
Recht,9.8N,124.0E,20
Regiomontanus,28.3S,1.0W,108
Regnault,54.1N,88.0W,46
Reichenbach,30.3S,48.0E,71
Reimarus,47.7S,60.3E,48
Reiner,7.0N,54.9W,29
Reinhold,3.3N,22.8W,42
Repsold,51.3N,78.6W,109
Resnik,38.8S,150.1W,20
Respighi,2.8N,71.9E,18
Réaumur,2.4S,0.7E,52
Rhaeticus,0.0N,4.9E,45
Rheita,37.1S,47.2E,70
Riccioli,3.3S,74.6W,139
Riccius,36.9S,26.5E,71
Ricco,75.6N,176.3E,65
Richards,7.7N,140.1E,16
Richardson,31.1N,100.5E,141
Riedel,48.9S,139.6W,0
Riemann,38.9N,86.8E,163
Ritchey,11.1S,8.5E,24
Rittenhouse,74.5S,106.5E,26
Ritter,2.0N,19.2E,29
Ritz,15.1S,92.2E,51
Robert,19.0N,27.4E,1
Roberts,71.1N,174.5W,89
Robertson,21.8N,105.2W,88
Robinson,59.0N,45.9W,24
Rocca,12.7S,72.8W,89
Rocco,28.9N,45.0W,4
Roche,42.3S,136.5E,160
Romeo,7.5N,122.6E,8
Römer,25.4N,36.4E,39
Röntgen,33.0N,91.4W,126
Rosa,20.3N,32.3W,1
Rosenberger,55.4S,43.1E,95
Ross,11.7N,21.7E,24
Rosse,17.9S,35.0E,11
Rosseland,41.0S,131.0E,75
Rost,56.4S,33.7W,48
Rothmann,30.8S,27.7E,42
Rowland,57.4N,162.5W,171
Rozhdestvenskiy,85.2N,155.4W,177
Rumford,28.8S,169.8W,61
Runge,2.5S,86.7E,38
Russell,26.5N,75.4W,103
Ruth,28.7N,45.1W,3
Rutherford,10.7N,137.0E,13
Rutherfurd,60.9S,12.1W,48
Rydberg,46.5S,96.3W,49
Rynin,47.0N,103.5W,75
,,,
Sabatier,13.2N,79.0E,10
Sabine,1.4N,20.1E,30
Sacrobosco,23.7S,16.7E,98
Saenger,4.3N,102.4E,75
Safarík,10.6N,176.9E,27
Saha,1.6S,102.7E,99
Samir,28.5N,34.3W,2
Sampson,29.7N,16.5W,1
Sanford,32.6N,138.9W,55
Santbech,20.9S,44.0E,64
Santos-Dumont,27.7N,4.8E,8
Sarabhai,24.7N,21.0E,7
Sarton,49.3N,121.1W,69
Sasserides,39.1S,9.3W,90
Saunder,4.2S,8.8E,44
Saussure,43.4S,3.8W,54
Scaliger,27.1S,108.9E,84
Schaeberle,26.2S,117.2E,62
Scheele,9.4S,37.8W,4
Scheiner,60.5S,27.5W,110
Schiaparelli,23.4N,58.8W,24
Schickard,44.3S,55.3W,206
Schiller,51.9S,39.0W,180
Schjellerup,69.7N,157.1E,62
Schlesinger,47.4N,138.6W,97
Schliemann,2.1S,155.2E,80
Schlüter,5.9S,83.3W,89
Schmidt,1.0N,18.8E,11
Schneller,41.8N,163.6W,54
Schomberger,76.7S,24.9E,85
Schönfeld,44.8N,98.1W,25
Schorr,19.5S,89.7E,53
Schrödinger,75.0S,132.4E,312
Schröter,2.6N,7.0W,35
Schubert,2.8N,81.0E,54
Schumacher,42.4N,60.7E,60
Schuster,4.2N,146.5E,108
Schwabe,65.1N,45.6E,25
Schwarzschild,70.1N,121.2E,212
Scobee,31.1S,148.9W,40
Scoresby,77.7N,14.1E,55
Scott,82.1S,48.5E,103
Seares,73.5N,145.8E,110
Secchi,2.4N,43.5E,22
Sechenov,7.1S,142.6W,62
Seeliger,2.2S,3.0E,8
Segers,47.1N,127.7E,17
Segner,58.9S,48.3W,67
Seidel,32.8S,152.2E,62
Seleucus,21.0N,66.6W,43
Seneca,26.6N,80.2E,46
Seyfert,29.1N,114.6E,110
Shackleton,89.9S,0.0E,19
Shahinaz,7.5N,122.4E,15
Shaler,32.9S,85.2W,48
Shapley,9.4N,56.9E,23
Sharonov,12.4N,173.3E,74
Sharp,45.7N,40.2W,39
Shatalov,24.3N,141.5E,21
Shayn,32.6N,172.5E,93
Sheepshanks,59.2N,16.9E,25
Sherrington,11.1S,118.0E,18
Shi Shen,76.0N,104.1E,43
Shirakatsi,12.1S,128.6E,51
Short,74.6S,7.3W,70
Shternberg,19.5N,116.3W,70
Shuckburgh,42.6N,52.8E,38
Shulejkin,27.1S,92.5W,15
Siedentopf,22.0N,135.5E,61
Sierpinski,27.2S,154.5E,69
Sikorsky,66.1S,103.2E,98
Silberschlag,6.2N,12.5E,13
Simpelius,73.0S,15.2E,70
Sinas,8.8N,31.6E,11
Sirsalis,12.5S,60.4W,42
Sisakyan,41.2N,109.0E,34
Sita,4.6N,120.8E,2
Sklodowska,18.2S,95.5E,127
Slipher,49.5N,160.1E,69
Slocum,3.0S,89.0E,13
Smith,31.6S,150.2W,34
Smithson,2.4N,53.6E,5
Smoluchowski,60.3N,96.8W,83
Snellius,29.3S,55.7E,82
Sniadecki,22.5S,168.9W,43
Soddy,0.4N,121.8E,42
Somerville,8.3S,64.9E,15
Sommerfeld,65.2N,162.4W,169
Sömmering,0.1N,7.5W,28
Soraya,12.9S,1.6W,2
Sosigenes,8.7N,17.6E,17
South,58.0N,50.8W,104
Spallanzani,46.3S,24.7E,32
Spencer Jones,13.3N,165.6E,85
Spörer,4.3S,1.8W,27
Spurr,27.9N,1.2W,11
St. John,10.2N,150.2E,68
Stadius,10.5N,13.7W,69
Stark,25.5S,134.6E,49
Stearns,34.8N,162.6E,36
Stebbins,64.8N,141.8W,131
Stefan,46.0N,108.3W,125
Stein,7.2N,179.0E,33
Steinheil,48.6S,46.5E,67
Steklov,36.7S,104.9W,36
Stella,19.9N,29.8E,36
Steno,32.8N,161.8E,31
Sternfeld,19.6S,141.2W,100
Stetson,39.6S,118.3W,64
Stevinus,32.5S,54.2E,74
Stewart,2.2N,67.0E,13
Stiborius,34.4S,32.0E,43
Stöfler,41.1S,6.0E,126
Stokes,52.5N,88.1W,51
Stoletov,45.1N,155.2W,42
Stoney,55.3S,156.1W,45
Störmer,57.3N,146.3E,69
Strabo,61.9N,54.3E,55
Stratton,5.8S,164.6E,70
Street,46.5S,10.5W,57
Strömgren,21.7S,132.4W,61
Struve,22.4N,77.1W,164
Subbotin,29.2S,135.3E,67
Suess,4.4N,47.6W,8
Sulpicius Gallus,19.6N,11.6E,12
Sumner,37.5N,108.7E,50
Sundman,10.8N,91.6W,40
Sung-Mei,24.6N,11.3E,5
Susan,11.0S,6.3W,1
Swann,52.0N,112.7E,42
Swasey,5.5S,89.7E,23
Swift,19.3N,53.4E,10
Sylvester,82.7N,79.6W,58
Szilard,34.0N,105.7E,122
,,,
T. Mayer,15.6N,29.1W,33
Tacchini,4.9N,85.8E,40
Tacitus,16.2S,19.0E,39
Tacquet,16.6N,19.2E,7
Taizo,16.6N,19.2E,6
Talbot,2.5S,85.3E,11
Tamm,4.4S,146.4E,38
Tannerus,56.4S,22.0E,28
Taruntius,5.6N,46.5E,56
Taylor,5.3S,16.7E,42
Tebbutt,9.6N,53.6E,31
Teisserenc,32.2N,135.9W,62
Tempel,3.9N,11.9E,45
Ten Bruggencate,9.5S,134.4E,59
Tereshkova,28.4N,144.3E,31
Tesla,38.5N,124.7E,43
Thales,61.8N,50.3E,31
Theaetetus,37.0N,6.0E,24
Thebit,22.0S,4.0W,56
Theiler,13.4N,83.3E,7
Theon Junior,2.3S,15.8E,17
Theon Senior,0.8S,15.4E,18
Theophilus,11.4S,26.4E,110
Theophrastus,17.5N,39.0E,9
Thiel,40.7N,134.5W,32
Thiessen,75.4N,169.0W,66
Thomson,32.7S,166.2E,117
Tikhomirov,25.2N,162.0E,65
Tikhov,62.3N,171.7E,83
Tiling,53.1S,132.6W,38
Timaeus,62.8N,0.5W,32
Timiryazev,5.5S,147.0W,53
Timocharis,26.7N,13.1W,33
Tiselius,7.0N,176.5E,53
Tisserand,21.4N,48.2E,36
Titius,26.8S,100.7E,73
Titov,28.6N,150.5E,31
Tolansky,9.5S,16.0W,13
Torricelli,4.6S,28.5E,22
Toscanelli,27.4N,47.5W,7
Townley,3.4N,63.3E,18
Tralles,28.4N,52.8E,43
Triesnecker,4.2N,3.6E,26
Trouvelot,49.3N,5.8E,9
Trumpler,29.3N,167.1E,77
Tsander,6.2N,149.3W,181
Tseraskiy,49.0S,141.6E,56
Tsinger,56.7N,175.6E,44
Tsiolkovskiy,21.2S,128.9E,185
Tsu Chung-Chi,17.3N,145.1E,28
Tucker,5.6S,88.2E,7
Turner,1.4S,13.2W,11
Tycho,43.4S,11.1W,102
Tyndall,34.9S,117.0E,18
,,,
Ukert,7.8N,1.4E,23
Ulugh Beigh,32.7N,81.9W,54
Urey,27.9N,87.4E,38
,,,
Väisälä,25.9N,47.8W,8
Valier,6.8N,174.5E,67
van Albada,9.4N,64.3E,21
Van Biesbroeck,28.7N,45.6W,9
Van de Graaff,27.4S,172.2E,233
Van de Waals,43.9S,119.9E,104
van den Bergh,31.3N,159.1W,42
van den Bos,5.3S,146.0E,22
van Gent,15.4N,160.4E,43
Van Maanen,35.7N,128.0E,60
van Rhijn,52.6N,146.4E,46
Van Vleck,1.9S,78.3E,31
Van Wijk,62.8S,118.8E,32
van't Hoff,62.1N,131.8W,92
Vasco da Gama,13.6N,83.9W,83
Vashakidze,43.6N,93.3E,44
Vavilov,0.8S,137.9W,98
Vega,45.4S,63.4E,75
Vendelinus,16.4S,61.6E,131
Vening Meinesz,0.3S,162.6E,87
Ventris,4.9S,158.0E,95
Vera,26.3N,43.7W,2
Vernadskiy,23.2N,130.5E,91
Verne,24.9N,25.3W,2
Vertregt,19.8S,171.1E,187
Very,25.6N,25.3E,5
Vesalius,3.1S,114.5E,61
Vestine,33.9N,93.9E,96
Vetchinkin,10.2N,131.3E,98
Vieta,29.2S,56.3W,87
Vil'ev,6.1S,144.4E,45
Virchow,9.8N,83.7E,16
Virtanen,15.5N,176.7E,44
Vitello,30.4S,37.5W,42
Vitruvius,17.6N,31.3E,29
Viviani,5.2N,117.1E,26
Vlacq,53.3S,38.8E,89
Vogel,15.1S,5.9E,26
Volkov,13.6S,131.7E,40
Volta,53.9N,84.4W,123
Volterra,56.8N,132.2E,52
von Behring,7.8S,71.8E,38
von Békésy,51.9N,126.8E,96
von Braun,41.1N,78.0W,60
von der Pahlen,24.8S,132.7W,56
Von Kármán,44.8S,175.9E,180
Von Neumann,40.4N,153.2E,78
von Zeipel,42.6N,141.6W,83
Voskresenskiy,28.0N,88.1W,49
,,,
W. Bond,65.4N,4.5W,156
Walker,26.0S,162.2W,32
Wallace,20.3N,8.7W,26
Wallach,4.9N,32.3E,6
Walter,28.0N,33.8W,1
Walther,33.1S,1.0E,128
Wan-Hoo,9.8S,138.8W,52
Wargentin,49.6S,60.2W,84
Warner,4.0S,87.3E,35
Waterman,25.9S,128.0E,76
Watson,62.6S,124.5W,62
Watt,49.5S,48.6E,66
Watts,8.9N,46.3E,15
Webb,0.9S,60.0E,21
Weber,50.4N,123.4W,42
Wegener,45.2N,113.3W,88
Weierstrass,1.3S,77.2E,33
Weigel,58.2S,38.8W,35
Weinek,27.5S,37.0E,32
Weiss,31.8S,19.5W,66
Werner,28.0S,3.3E,70
Wexler,69.1S,90.2E,51
Weyl,17.5N,120.2W,108
Whewell,4.2N,13.7E,13
White,44.6S,158.3W,39
Wichmann,7.5S,38.1W,10
Widmanstätten,6.1S,85.5E,46
Wiechert,84.5S,165.0E,41
Wiener,40.8N,146.6E,120
Wildt,9.0N,75.8E,11
Wilhelm,43.4S,20.4W,106
Wilkins,29.4S,19.6E,57
Williams,42.0N,37.2E,36
Wilsing,21.5S,155.2W,73
Wilson,69.2S,42.4W,69
Winkler,42.2N,179.0W,22
Winlock,35.6N,105.6W,64
Winthrop,10.7S,44.4W,17
Wöhler,38.2S,31.4E,27
Wolf,22.7S,16.6W,25
Wollaston,30.6N,46.9W,10
Woltjer,45.2N,159.6W,46
Wood,43.0N,120.8W,78
Wright,31.6S,86.6W,39
Wróblewski,24.0S,152.8E,21
Wrottesley,23.9S,56.8E,57
Wurzelbauer,33.9S,15.9W,88
Wyld,1.4S,98.1E,93
,,,
Xenophanes,57.5N,82.0W,125
Xenophon,22.8S,122.1E,25
,,,
Yablochkov,60.9N,128.3E,99
Yakovkin,54.5S,78.8W,37
Yamamoto,58.1N,160.9E,76
Yangel',17.0N,4.7E,8
Yerkes,14.6N,51.7E,36
Yoshi,24.6N,11.0E,1
Young,41.5S,50.9E,71
,,,
Zach,60.9S,5.3E,70
Zagut,32.0S,22.1E,84
Zähringer,5.6N,40.2E,11
Zanstra,2.9N,124.7E,42
Zasyadko,3.9N,94.2E,11
Zeeman,75.2S,133.6W,190
Zelinskiy,28.9S,166.8E,53
Zeno,45.2N,72.9E,65
Zernike,18.4N,168.2E,48
Zhiritskiy,24.8S,120.3E,35
Zhukovskiy,7.8N,167.0W,81
Zinner,26.6N,58.8W,4
Zöllner,8.0S,18.9E,47
Zsigmondy,59.7N,104.7W,65
Zucchius,61.4S,50.3W,64
Zupus,17.2S,52.3W,38
Zwicky,15.4S,168.1E,150
