Name,Lat.,Long.,Diam. (km)
Boscovich,9.8N,11.1E,46
Bose,53.5S,168.6W,91
Boss,45.8N,89.2E,47
Bouguer,52.3N,35.8W,22
Boussingault,70.2S,54.6E,142
Bowditch,25.0S,103.1E,40
Bowen,17.6N,9.1E,8
Boyle,53.1S,178.1E,57
Brackett,17.9N,23.6E,8
Bragg,42.5N,102.9W,84
Brashear,73.8S,170.7W,55
Brayley,20.9N,36.9W,14
Bredikhin,17.3N,158.2W,59
Breislak,48.2S,18.3E,49
Brenner,39.0S,39.3E,97
Brewster,23.3N,34.7E,10
Brianchon,75.0N,86.2W,134
Bridgman,43.5N,137.1E,80
Briggs,26.5N,69.1W,37
Brisbane,49.1S,68.5E,44
Bronk,26.1N,134.5W,64
Brouwer,36.2S,126.0W,158
Brown,46.4S,17.9W,34
Bruce,1.1N,0.4E,6
Brunner,9.9S,90.9E,53
Buch,38.8S,17.7E,53
Buffon,40.4S,133.4W,106
Buisson,1.4S,112.5E,56
Bullialdus,20.7S,22.2W,60
Bunsen,41.4N,85.3W,52
Burckhardt,31.1N,56.5E,56
Bürg,45.0N,28.2E,39
Burnham,13.9S,7.3E,24
Büsching,38.0S,20.0E,52
Butlerov,12.5N,108.7W,40
Buys-Ballot,20.8N,174.5E,55
Byrd,85.3N,9.8E,93
Byrgius,24.7S,65.3W,87
,,,
C. Herschel,34.5N,31.2W,13
C. Mayer,63.2N,17.3E,38
Cabannes,60.9S,169.6W,80
Cabeus,84.9S,35.5W,98
Cajal,12.6N,31.1E,9
Cajori,47.4S,168.8E,70
Calippus,38.9N,10.7E,32
Cameron,6.2N,45.9E,10
Campanus,28.0S,27.8W,48
Campbell,45.3N,151.4E,219
Cannizzaro,55.6N,99.6W,56
Cannon,19.9N,81.4E,56
Cantor,38.2N,118.6E,0
Capella,7.5S,35.0E,90
Capuanus,34.1S,26.7W,59
Cardanus,13.2N,0.0E,49
Carlini,33.7N,24.1W,10
Carlos,24.9N,2.3E,4
Carmichael,19.6N,40.4E,20
Carnot,52.3N,143.5W,126
Carol,8.5N,122.3E,117
Carpenter,69.4N,50.9W,59
Carrel,10.7N,26.7E,15
Carrillo,2.2S,80.9E,16
Carrington,44.0N,62.1E,30
Cartan,4.2N,59.3E,15
Carver,43.0S,126.9E,59
Casatus,72.8S,29.5W,108
Cassegrain,52.4S,113.5E,55
Cassini,40.2N,4.6E,56
Catalán,45.7S,87.3W,25
Catharina,18.1S,23.4E,104
Cauchy,9.6N,38.6E,12
Cavalerius,5.1N,66.8W,57
Cavendish,24.5S,53.7W,56
Caventou,29.8N,29.4W,3
Cayley,4.0N,15.1E,14
Celsius,34.1S,20.1E,36
Censorinus,0.4S,32.7E,3
Cepheus,40.8N,45.8E,39
Chacornac,29.8N,31.7E,51
Chadwick,52.7S,101.3W,30
Chaffee,38.8S,153.9W,49
Challis,79.5N,9.2E,55
Chalonge,21.2S,117.3W,30
Chamberlin,58.9S,95.7E,58
Champollion,37.4N,175.2E,58
Chandler,43.8N,171.5E,85
Chang Heng,19.0N,112.2E,43
Chang-Ngo,12.7S,2.1W,3
Chant,40.0S,109.2W,33
Chaplygin,6.2S,150.3E,137
Chapman,50.4N,100.7W,71
Chappe,61.2S,91.5W,59
Chappell,54.7N,177.0W,80
Charles,29.9N,26.4W,1
Charlier,36.6N,131.5W,99
Chaucer,3.7N,140.0W,45
Chauvenet,11.5S,137.0E,81
Chebyshev,33.7S,133.1W,178
Chernyshev,47.3N,174.2E,58
Chevallier,44.9N,51.2E,52
Ching-Te,20.0N,30.0E,4
Chladni,4.0N,1.1E,13
Chrétien,45.9S,162.9E,88
Christel,24.5N,11.0E,2
Cichus,33.3S,21.1W,40
Clairaut,47.7S,13.9E,75
Clark,38.4S,118.9E,49
Clausius,36.9S,43.8W,24
Clavius,58.8S,14.1W,245
Cleomedes,27.7N,56.0E,125
Cleostratus,60.4N,77.0W,62
Clerke,21.7N,29.8E,6
Coblentz,37.9S,126.1E,33
Cockcroft,31.3N,162.6W,93
Collins,1.3N,23.7E,2
Colombo,15.1S,45.8E,76
Compton,55.3N,103.8E,182
Comrie,23.3N,112.7W,59
Comstock,21.8N,121.5W,72
Condon,1.9N,60.4E,34
Condorcet,12.1N,69.6E,74
Congreve,0.2S,167.3W,57
Conon,21.6N,2.0E,21
Cook,17.5S,48.9E,46
Cooper,52.9N,175.6E,36
Copernicus,9.7N,20.1W,107
Cori,50.6S,151.9W,65
Coriolis,0.1N,171.8E,78
Couder,4.8S,92.4W,21
Coulomb,54.7N,114.6W,89
Courtney,25.1N,30.8W,1
Cremona,67.5N,90.6W,85
Crile,14.2N,46.0E,9
Crocco,47.5S,150.2E,75
Crommelin,68.1S,146.9W,94
Crookes,10.3S,164.5W,49
Crozier,13.5S,50.8E,22
Crüger,16.7S,66.8W,45
