Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Spalte1,Spalte2,Spalte3
# PhotoID, X, Y, Z, Omega, Phi, Kappa, r11, r12, r13, r21, r22, r23, r31, r32, r33, X, Y, GroundHeight,Capture Time,0.00,Interval, X, Y,Hor. Distance,Distance Sum,hor. Speed,vert Speed,relative altitude
HNM_0133_0678747617_575ECM_N0090001HELI00758_0000LUJ01,77.4507836780755,18.4372311007015,-2560.98,3.15310873443309,0.545839608701173,59.7236203673065,0.504148764763489,0.862560260527735,0.0427062050032037,-0.86356428119246,0.502955855331147,0.0359463466386275,0.0095265542563011,-0.0550018594816736,0.998440804563576,805.39524347913,-1056.8892786793,-2569.76,45195.08854,8.72,0.87,805.40,-1056.89,0.10,1.60,0.11,1.01,8.78
HNM_0133_0678747618_466ECM_N0090001HELI00785_0000LUJ01,77.4507853518539,18.4372318632515,-2560.20,3.41420378764017,0.354479633454392,59.6303929356826,0.505566490783615,0.861436899163653,0.0482596327799187,-0.862765464617313,0.504360927175566,0.0354373842470819,0.0061867972662452,-0.0595526984939751,0.998205990585947,805.489360093436,-1056.84407131034,-2569.76,45195.95606,9.58,0.87,805.49,-1056.84,0.10,1.70,0.12,0.90,9.56
HNM_0133_0678747619_360ECM_N0090001HELI00812_0000LUJ01,77.4507859100181,18.4372329369208,-2559.66,3.67463995141152,0.0905196080912714,58.9993071029078,0.515047798110619,0.85545097154607,0.0541239405650364,-0.857160002385455,0.513902752937084,0.0343611820846275,0.0015798645415906,-0.0640905281970021,0.9979428381543,805.520741843176,-1056.78042740768,-2569.78,45196.82601,10.45,0.87,805.52,-1056.78,0.07,1.77,0.08,0.61,10.11
HNM_0133_0678747620_258ECM_N0090001HELI00839_0000LUJ01,77.450785496313,18.4372337470692,-2559.45,2.93371520486656,0.73388192260886,59.0498932799474,0.514249269540992,0.856828629495297,0.0373147216761314,-0.857545121893438,0.513055234493667,0.0372919599299535,0.012808305638362,-0.0511764207019083,0.998607491094883,805.497474512628,-1056.73240794664,-2569.78,45197.69954,11.33,0.87,805.50,-1056.73,0.05,1.83,0.06,0.25,10.33
HNM_0133_0678747621_151ECM_N0090001HELI00866_0000LUJ01,77.4507843789811,18.4372347199668,-2559.44,3.63276323213825,1.96541951164176,59.6204492020723,0.505428381357511,0.862059745335269,0.0373516638292999,-0.862186704907143,0.502835037636005,0.0615711848754119,0.034296314666315,-0.0633239322696269,0.997403550425915,805.43463995719,-1056.674744715,-2569.78,45198.56947,12.20,0.87,805.43,-1056.67,0.09,1.91,0.10,0.00,10.33
HNM_0133_0678747622_049ECM_N0090001HELI00893_0000LUJ01,77.4507825757863,18.4372358871921,-2559.45,3.56920268154501,2.99403120566903,57.0516107872631,0.543140947141444,0.839301653603248,0.0238881936769741,-0.838015356478549,0.540099749977122,0.0776049120918287,0.0522319236140678,-0.0621690785962224,0.996697964190793,805.333236938409,-1056.60556581154,-2569.78,45199.44302,13.07,0.87,805.33,-1056.61,0.12,2.04,0.14,-0.01,10.33
HNM_0133_0678747622_948ECM_N0090001HELI00920_0000LUJ01,77.4507810088604,18.4372368060427,-2559.49,12.3571511136458,-2.17104252531501,56.8208644382121,0.546865649292907,0.813136701763386,0.199365658699813,-0.836362874055783,0.541365264584559,0.0861440259242703,-0.0378827734544188,-0.213851243967981,0.976131415808726,805.245121001045,-1056.55110819505,-2569.78,45200.31796,13.95,0.87,805.25,-1056.55,0.10,2.14,0.12,-0.04,10.29
HNM_0133_0678747623_846ECM_N0090001HELI00947_0000LUJ01,77.4507760348244,18.4372311393942,-2559.43,12.5069545978757,-1.31091366921153,56.510870668323,0.551634345881202,0.811465990162833,0.192931322633912,-0.833772244906948,0.542816796939801,0.100865100916237,-0.0228777635936312,-0.216501435951513,0.976014208996922,804.965446728196,-1056.88701918077,-2569.76,45201.19215,14.82,0.87,804.97,-1056.89,0.44,2.58,0.50,0.07,10.33
HNM_0133_0678747624_734ECM_N0090001HELI00974_0000LUJ01,77.4507674495525,18.4372176079673,-2559.43,12.1590191014777,-2.35537032226295,56.7936904620139,0.547192677352104,0.813193461908615,0.198233618141118,-0.83599711627798,0.542612348463984,0.0817353098073432,-0.041097389541658,-0.210447696123008,0.976740892852029,804.482741623662,-1057.6891285461,-2569.85,45202.05629,15.68,0.86,804.48,-1057.69,0.94,3.51,1.08,0.00,10.42
HNM_0133_0678747625_632ECM_N0090001HELI01001_0000LUJ01,77.4507546509328,18.4371963924254,-2559.47,13.3441592993091,-4.25892010928655,57.2101910679961,0.540063251079772,0.808683773859833,0.233157111684303,-0.838341565707997,0.541346306439213,0.0642463672971975,-0.0742637464676491,-0.230162400057963,0.970314467355891,803.763146660003,-1058.94673017391,-2569.74,45202.92985,16.56,0.87,803.76,-1058.95,1.45,4.96,1.66,-0.04,10.27
